id,created_at,user_id,user_name,tweet_text,url
id,created_at,user_id,user_name,tweet_text,url
696031515382145024,Sat Feb 06 18:03:39 +0000 2016,,,,
696031451771305984,Sat Feb 06 18:03:24 +0000 2016,,,,
696031435728158720,Sat Feb 06 18:03:20 +0000 2016,,,,
696030659501015041,Sat Feb 06 18:00:15 +0000 2016,,,,
696028098358333440,Sat Feb 06 17:50:04 +0000 2016,,,,
696027678508343297,Sat Feb 06 17:48:24 +0000 2016,,,,
696026576958394372,Sat Feb 06 17:44:02 +0000 2016,,,,
696016922991837184,Sat Feb 06 17:05:40 +0000 2016,,,,
696014799709278208,Sat Feb 06 16:57:14 +0000 2016,,,,
696011740232949761,Sat Feb 06 16:45:04 +0000 2016,,,,
696011327505108992,Sat Feb 06 16:43:26 +0000 2016,,,,
696006930125492224,Sat Feb 06 16:25:57 +0000 2016,,,,
696006817986510848,Sat Feb 06 16:25:31 +0000 2016,,,,
696004662034571265,Sat Feb 06 16:16:57 +0000 2016,,,,
696002293825720320,Sat Feb 06 16:07:32 +0000 2016,,,,
696001873136873473,Sat Feb 06 16:05:52 +0000 2016,,,,
695997430039379970,Sat Feb 06 15:48:12 +0000 2016,,,,
695997428755902464,Sat Feb 06 15:48:12 +0000 2016,,,,
695995591462166529,Sat Feb 06 15:40:54 +0000 2016,,,,
695994317710692352,Sat Feb 06 15:35:50 +0000 2016,,,,
id,created_at,user_id,user_name,tweet_text,url
696045598798118913,Sat Feb 06 18:59:37 +0000 2016,,,,
696031515382145024,Sat Feb 06 18:03:39 +0000 2016,,,,
696031451771305984,Sat Feb 06 18:03:24 +0000 2016,,,,
696031435728158720,Sat Feb 06 18:03:20 +0000 2016,,,,
696030659501015041,Sat Feb 06 18:00:15 +0000 2016,,,,
696028098358333440,Sat Feb 06 17:50:04 +0000 2016,,,,
696027678508343297,Sat Feb 06 17:48:24 +0000 2016,,,,
696026576958394372,Sat Feb 06 17:44:02 +0000 2016,,,,
696016922991837184,Sat Feb 06 17:05:40 +0000 2016,,,,
696014799709278208,Sat Feb 06 16:57:14 +0000 2016,,,,
696011740232949761,Sat Feb 06 16:45:04 +0000 2016,,,,
696011327505108992,Sat Feb 06 16:43:26 +0000 2016,,,,
696006930125492224,Sat Feb 06 16:25:57 +0000 2016,,,,
696006817986510848,Sat Feb 06 16:25:31 +0000 2016,,,,
696004662034571265,Sat Feb 06 16:16:57 +0000 2016,,,,
696002293825720320,Sat Feb 06 16:07:32 +0000 2016,,,,
696001873136873473,Sat Feb 06 16:05:52 +0000 2016,,,,
695997430039379970,Sat Feb 06 15:48:12 +0000 2016,,,,
695997428755902464,Sat Feb 06 15:48:12 +0000 2016,,,,
695995591462166529,Sat Feb 06 15:40:54 +0000 2016,,,,
id,created_at,user_id,user_name,tweet_text,url
696045598798118913,Sat Feb 06 18:59:37 +0000 2016,,,,
696031515382145024,Sat Feb 06 18:03:39 +0000 2016,,,,
696031451771305984,Sat Feb 06 18:03:24 +0000 2016,,,,
696031435728158720,Sat Feb 06 18:03:20 +0000 2016,,,,
696030659501015041,Sat Feb 06 18:00:15 +0000 2016,,,,
696028098358333440,Sat Feb 06 17:50:04 +0000 2016,,,,
696027678508343297,Sat Feb 06 17:48:24 +0000 2016,,,,
696026576958394372,Sat Feb 06 17:44:02 +0000 2016,,,,
696016922991837184,Sat Feb 06 17:05:40 +0000 2016,,,,
696014799709278208,Sat Feb 06 16:57:14 +0000 2016,,,,
696011740232949761,Sat Feb 06 16:45:04 +0000 2016,,,,
696011327505108992,Sat Feb 06 16:43:26 +0000 2016,,,,
696006930125492224,Sat Feb 06 16:25:57 +0000 2016,,,,
696006817986510848,Sat Feb 06 16:25:31 +0000 2016,,,,
696004662034571265,Sat Feb 06 16:16:57 +0000 2016,,,,
696002293825720320,Sat Feb 06 16:07:32 +0000 2016,,,,
696001873136873473,Sat Feb 06 16:05:52 +0000 2016,,,,
695997430039379970,Sat Feb 06 15:48:12 +0000 2016,,,,
695997428755902464,Sat Feb 06 15:48:12 +0000 2016,,,,
695995591462166529,Sat Feb 06 15:40:54 +0000 2016,,,,
